investor_id,total_amount,avg_amount,tx_count,sip_count,age_group,income,gender,state,city_tier,sip_ratio,investor_segment
INV000001,237429,79143.0,3,2,36-45,19.9,Male,Haryana,T30,0.6666666666666666,Balanced
INV000002,681325,113554.16666666667,6,3,46-55,24.0,Male,Maharashtra,T30,0.5,Balanced
INV000003,17861,8930.5,2,2,26-35,10.6,Female,Gujarat,T30,1.0,Conservative
INV000004,476881,52986.77777777778,9,6,26-35,20.0,Male,Punjab,T30,0.6666666666666666,Balanced
INV000005,1398173,174771.625,8,3,26-35,10.4,Female,Punjab,B30,0.375,Balanced
INV000006,374177,62362.833333333336,6,5,46-55,43.0,Female,Madhya Pradesh,B30,0.8333333333333334,Balanced
INV000007,82420,16484.0,5,5,26-35,21.9,Male,Uttar Pradesh,B30,1.0,Balanced
INV000008,948979,118622.375,8,6,26-35,18.6,Female,Punjab,B30,0.75,Balanced
INV000009,581851,83121.57142857143,7,4,26-35,17.1,Male,Haryana,T30,0.5714285714285714,Balanced
INV000010,1321472,120133.81818181818,11,6,36-45,13.6,Male,Maharashtra,T30,0.5454545454545454,Balanced
INV000011,1099634,99966.72727272728,11,7,26-35,9.6,Male,West Bengal,T30,0.6363636363636364,Balanced
INV000012,954446,86767.81818181818,11,8,46-55,51.6,Male,Uttar Pradesh,B30,0.7272727272727273,Balanced
INV000013,865449,86544.9,10,7,18-25,5.2,Male,Maharashtra,B30,0.7,Aggressive
INV000014,1060830,96439.09090909091,11,7,18-25,4.3,Male,Tamil Nadu,T30,0.6363636363636364,Balanced
INV000015,265612,132806.0,2,1,36-45,27.8,Male,Gujarat,T30,0.5,Aggressive
INV000016,655227,218409.0,3,1,26-35,21.0,Female,Tamil Nadu,T30,0.3333333333333333,Aggressive
INV000017,805968,201492.0,4,1,46-55,31.5,Female,Gujarat,T30,0.25,Aggressive
INV000018,420620,105155.0,4,2,56+,37.9,Male,Telangana,T30,0.5,Balanced
INV000019,218987,54746.75,4,3,18-25,5.1,Female,Gujarat,T30,0.75,Balanced
INV000020,1113745,185624.16666666666,6,2,36-45,17.0,Female,Delhi,T30,0.3333333333333333,Balanced
INV000021,807228,134538.0,6,3,46-55,76.8,Male,Uttar Pradesh,B30,0.5,Balanced
INV000022,1054287,175714.5,6,2,36-45,37.4,Male,Telangana,T30,0.3333333333333333,Aggressive
INV000023,461628,46162.8,10,8,46-55,61.9,Female,West Bengal,T30,0.8,Conservative
INV000024,1254570,156821.25,8,5,36-45,27.0,Female,Delhi,T30,0.625,Aggressive
INV000025,13678,13678.0,1,1,26-35,11.5,Male,Haryana,T30,1.0,Conservative
INV000026,826838,118119.71428571429,7,4,36-45,29.5,Male,West Bengal,T30,0.5714285714285714,Aggressive
INV000027,1465451,209350.14285714287,7,2,26-35,20.7,Male,Punjab,T30,0.2857142857142857,Aggressive
INV000028,1065631,118403.44444444444,9,6,18-25,6.1,Female,Gujarat,T30,0.6666666666666666,Aggressive
INV000029,894277,81297.90909090909,11,7,26-35,7.6,Female,Rajasthan,B30,0.6363636363636364,Balanced
INV000030,1315849,109654.08333333333,12,9,18-25,5.1,Female,Delhi,T30,0.75,Balanced
INV000031,542411,90401.83333333333,6,3,36-45,27.3,Male,Madhya Pradesh,T30,0.5,Aggressive
INV000032,1231203,153900.375,8,4,36-45,21.8,Male,Delhi,T30,0.5,Aggressive
INV000033,1131799,102890.81818181818,11,8,36-45,12.4,Female,Delhi,T30,0.7272727272727273,Balanced
INV000034,296610,98870.0,3,1,26-35,24.5,Male,Punjab,T30,0.3333333333333333,Aggressive
INV000035,1710,855.0,2,2,26-35,20.9,Male,Gujarat,T30,1.0,Conservative
INV000036,11059,5529.5,2,2,36-45,49.7,Male,West Bengal,T30,1.0,Conservative
INV000037,1139629,227925.8,5,2,26-35,7.5,Male,Rajasthan,B30,0.4,Balanced
INV000038,793676,113382.28571428571,7,4,56+,22.4,Female,West Bengal,T30,0.5714285714285714,Balanced
